node,betweeness_centrality,node_type
regulation of nervous system process,0.0,biological_process
endocardial cushion morphogenesis,0.0,biological_process
removal of superoxide radicals,0.0,biological_process
negative regulation of platelet activation,0.0,biological_process
protein transport,0.0,biological_process
transforming growth factor beta receptor signaling pathway,0.0,biological_process
blood vessel remodeling,0.0,biological_process
endoplasmic reticulum to Golgi vesicle-mediated transport,0.0,biological_process
neuron projection maintenance,0.0,biological_process
response to heat,0.0,biological_process
negative regulation of neuron death,0.0,biological_process
negative regulation of cell death,0.0,biological_process
positive regulation of cytokine production,0.0,biological_process
histone H3-T6 phosphorylation,0.0,biological_process
presynaptic modulation of chemical synaptic transmission,0.0,biological_process
mitochondrion organization,0.0,biological_process
aortic valve morphogenesis,0.0,biological_process
activation of protein kinase B activity,0.0,biological_process
regulation of actin cytoskeleton organization,0.0,biological_process
positive regulation of cellular protein metabolic process,0.0,biological_process
endothelial cell migration,0.0,biological_process
negative regulation of biomineral tissue development,0.0,biological_process
ureteric bud development,0.0,biological_process
blood vessel diameter maintenance,0.0,biological_process
response to hyperoxia,0.0,biological_process
proteolysis,0.0,biological_process
Leydig cell differentiation,0.0,biological_process
response to pH,0.0,biological_process
response to fluid shear stress,0.0,biological_process
hydrogen peroxide catabolic process,0.0,biological_process
negative regulation of tyrosine phosphorylation of STAT protein,0.0,biological_process
interleukin-6-mediated signaling pathway,0.0,biological_process
negative regulation of extracellular matrix disassembly,0.0,biological_process
androgen metabolic process,0.0,biological_process
tetrahydrobiopterin metabolic process,0.0,biological_process
cholangiocyte proliferation,0.0,biological_process
regulation of aorta morphogenesis,0.0,biological_process
negative regulation of vascular associated smooth muscle cell migration,0.0,biological_process
negative regulation of prostaglandin biosynthetic process,0.0,biological_process
negative regulation of T cell activation,0.0,biological_process
negative regulation of epithelial to mesenchymal transition,0.0,biological_process
positive regulation of cell adhesion molecule production,0.0,biological_process
negative regulation of astrocyte activation,0.0,biological_process
negative regulation of blood pressure,0.0,biological_process
arginine catabolic process,0.0,biological_process
innate immune response in mucosa,0.0,biological_process
Notch signaling pathway,0.0,biological_process
regulation of osteoclast development,0.0,biological_process
positive regulation of cholesterol storage,0.0,biological_process
NIK/NF-kappaB signaling,0.0,biological_process
positive regulation of lipid storage,0.0,biological_process
positive regulation of vascular associated smooth muscle cell differentiation,0.0,biological_process
positive regulation of tau-protein kinase activity,0.0,biological_process
cellular response to vitamin D,0.0,biological_process
positive regulation of vascular associated smooth muscle cell migration,0.0,biological_process
negative regulation of endothelial cell apoptotic process,0.0,biological_process
positive regulation of vascular endothelial cell proliferation,0.0,biological_process
negative regulation of receptor-mediated endocytosis,0.0,biological_process
positive regulation of receptor signaling pathway via JAK-STAT,0.0,biological_process
negative regulation of keratinocyte proliferation,0.0,biological_process
negative regulation of monocyte differentiation,0.0,biological_process
cellular response to interleukin-6,0.0,biological_process
positive regulation of sprouting angiogenesis,0.0,biological_process
pulmonary valve development,0.0,biological_process
negative regulation of low-density lipoprotein particle clearance,0.0,biological_process
positive regulation of osteoblast differentiation,0.0,biological_process
positive regulation of Schwann cell migration,0.0,biological_process
negative regulation of vascular associated smooth muscle cell differentiation,0.0,biological_process
positive regulation of tyrosine phosphorylation of STAT protein,0.0,biological_process
positive regulation of axon regeneration,0.0,biological_process
glial cell-neuron signaling,0.0,biological_process
negative regulation of heterotypic cell-cell adhesion,0.0,biological_process
negative regulation of low-density lipoprotein receptor activity,0.0,biological_process
cellular response to vascular endothelial growth factor stimulus,0.0,biological_process
regulation of cholesterol esterification,0.0,biological_process
positive regulation of cardiac muscle cell apoptotic process,0.0,biological_process
negative regulation by host of viral genome replication,0.0,biological_process
cardiac muscle hypertrophy,0.0,biological_process
negative regulation of neuroinflammatory response,0.0,biological_process
negative regulation of fibroblast growth factor production,0.0,biological_process
positive regulation of high-density lipoprotein particle clearance,0.0,biological_process
negative regulation of synoviocyte proliferation,0.0,biological_process
B cell activation,0.0,biological_process
positive regulation of vascular endothelial growth factor receptor signaling pathway,0.0,biological_process
mitotic nuclear membrane disassembly,0.0,biological_process
positive regulation of B cell receptor signaling pathway,0.0,biological_process
negative regulation of interleukin-2 production,0.0,biological_process
positive regulation of cardiac muscle cell differentiation,0.0,biological_process
positive regulation of keratinocyte differentiation,0.0,biological_process
response to hormone,0.0,biological_process
negative regulation of cardiac muscle hypertrophy,0.0,biological_process
fatty acid homeostasis,0.0,biological_process
negative regulation of lipid catabolic process,0.0,biological_process
cellular response to laminar fluid shear stress,0.0,biological_process
positive regulation of oligodendrocyte differentiation,0.0,biological_process
positive regulation of myelination,0.0,biological_process
negative regulation of activated T cell proliferation,0.0,biological_process
negative regulation of interleukin-17 production,0.0,biological_process
positive regulation of interleukin-1 beta production,0.0,biological_process
left/right axis specification,0.0,biological_process
cellular response to growth factor stimulus,0.0,biological_process
negative regulation of receptor signaling pathway via STAT,0.0,biological_process
I-kappaB kinase/NF-kappaB signaling,0.0,biological_process
regulation of neuroinflammatory response,0.0,biological_process
negative regulation of interleukin-6-mediated signaling pathway,0.0,biological_process
negative regulation of NF-kappaB transcription factor activity,0.0,biological_process
negative regulation of viral genome replication,0.0,biological_process
negative regulation of proteolysis,0.0,biological_process
positive regulation of MAPK cascade,0.0,biological_process
positive regulation of phosphatidylinositol 3-kinase signaling,0.0,biological_process
positive regulation of Notch signaling pathway,0.0,biological_process
positive regulation of membrane protein ectodomain proteolysis,0.0,biological_process
negative regulation of cell adhesion molecule production,0.0,biological_process
regulation of T cell proliferation,0.0,biological_process
positive regulation of apoptotic process involved in morphogenesis,0.0,biological_process
negative regulation of actin filament polymerization,0.0,biological_process
negative regulation of double-strand break repair,0.0,biological_process
positive regulation of erythrocyte differentiation,0.0,biological_process
positive regulation of vascular associated smooth muscle cell dedifferentiation,0.0,biological_process
negative regulation of NIK/NF-kappaB signaling,0.0,biological_process
positive regulation of epithelial to mesenchymal transition,0.0,biological_process
regulation of T cell cytokine production,0.0,biological_process
RNA destabilization,0.0,biological_process
negative regulation of extracellular matrix constituent secretion,0.0,biological_process
regulation of RNA biosynthetic process,0.0,biological_process
negative regulation of interleukin-8 production,0.0,biological_process
"positive regulation of wound healing, spreading of epidermal cells",0.0,biological_process
platelet-derived growth factor receptor signaling pathway,0.0,biological_process
positive regulation of epithelial cell migration,0.0,biological_process
positive regulation of cardiac muscle hypertrophy in response to stress,0.0,biological_process
negative regulation of interleukin-1-mediated signaling pathway,0.0,biological_process
negative regulation of lipid binding,0.0,biological_process
negative regulation of artery morphogenesis,0.0,biological_process
regulation of myelination,0.0,biological_process
aortic valve development,0.0,biological_process
negative regulation of blood vessel endothelial cell migration,0.0,biological_process
cellular response to interferon-gamma,0.0,biological_process
"retrograde transport, endosome to Golgi",0.0,biological_process
regulation of catalytic activity,0.0,biological_process
Fc-epsilon receptor signaling pathway,0.0,biological_process
protein deubiquitination,0.0,biological_process
regulation of mitotic cell cycle phase transition,0.0,biological_process
positive regulation of NAD(P)H oxidase activity,0.0,biological_process
positive regulation of mucus secretion,0.0,biological_process
cellular response to angiotensin,0.0,biological_process
cellular response to copper ion,0.0,biological_process
post-embryonic development,0.0,biological_process
lung development,0.0,biological_process
response to lipopolysaccharide,0.0,biological_process
aflatoxin metabolic process,0.0,biological_process
response to interleukin-1,0.0,biological_process
cellular response to mechanical stimulus,0.0,biological_process
negative regulation of protein localization to plasma membrane,0.0,biological_process
cholesterol metabolic process,0.0,biological_process
xenobiotic metabolic process,0.0,biological_process
calcium-mediated signaling,0.0,biological_process
epoxygenase P450 pathway,0.0,biological_process
negative regulation of hematopoietic stem cell proliferation,0.0,biological_process
hydrogen peroxide biosynthetic process,0.0,biological_process
long-term memory,0.0,biological_process
response to glucagon,0.0,biological_process
taurine biosynthetic process,0.0,biological_process
sulfur amino acid biosynthetic process,0.0,biological_process
regulation of myeloid cell differentiation,0.0,biological_process
cytokine-mediated signaling pathway,0.0,biological_process
negative regulation of apoptotic process,0.0,biological_process
neuron apoptotic process,0.0,biological_process
endocytosis,0.0,biological_process
fertilization,0.0,biological_process
steroid catabolic process,0.0,biological_process
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,0.0,biological_process
omega-hydroxylase P450 pathway,0.0,biological_process
regulation of fever generation,0.0,biological_process
posterior midgut development,0.0,biological_process
sensory perception of pain,0.0,biological_process
positive regulation of urine volume,0.0,biological_process
vasodilation,0.0,biological_process
positive regulation of superoxide anion generation,0.0,biological_process
positive regulation of interleukin-6 production,0.0,biological_process
response to activity,0.0,biological_process
superoxide anion generation,0.0,biological_process
electron transport chain,0.0,biological_process
negative regulation of neuron maturation,0.0,biological_process
positive regulation of penile erection,0.0,biological_process
enteric smooth muscle cell differentiation,0.0,biological_process
histamine secretion,0.0,biological_process
cellular response to hypoxia,0.0,biological_process
phospholipase C-activating G protein-coupled receptor signaling pathway,0.0,biological_process
response to estradiol,0.0,biological_process
cellular response to cadmium ion,0.0,biological_process
methylation,0.0,biological_process
drug metabolic process,0.0,biological_process
oxidative demethylation,0.0,biological_process
positive regulation of renal sodium excretion,0.0,biological_process
cell surface receptor signaling pathway,0.0,biological_process
cellular response to organic cyclic compound,0.0,biological_process
positive regulation of JUN kinase activity,0.0,biological_process
positive regulation of vascular associated smooth muscle cell proliferation,0.0,biological_process
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,0.0,biological_process
hepatocyte differentiation,0.0,biological_process
signal transduction involved in regulation of gene expression,0.0,biological_process
cholesterol homeostasis,0.0,biological_process
phospholipid homeostasis,0.0,biological_process
"positive regulation of transcription, DNA-templated",0.0,biological_process
lipid metabolic process,0.0,biological_process
lipid homeostasis,0.0,biological_process
negative regulation of cell growth,0.0,biological_process
cell volume homeostasis,0.0,biological_process
regulation of phospholipid metabolic process,0.0,biological_process
head development,0.0,biological_process
regulation of triglyceride metabolic process,0.0,biological_process
middle ear morphogenesis,0.0,biological_process
response to ozone,0.0,biological_process
positive regulation of NIK/NF-kappaB signaling,0.0,biological_process
response to nicotine,0.0,biological_process
negative regulation of gene expression,0.0,biological_process
ovarian follicle development,0.0,biological_process
positive regulation of heart rate,0.0,biological_process
vasoconstriction,0.0,biological_process
positive regulation of smooth muscle contraction,0.0,biological_process
innate immune response,0.0,biological_process
positive regulation of neutrophil chemotaxis,0.0,biological_process
positive regulation of cell size,0.0,biological_process
regulation of glucose metabolic process,0.0,biological_process
regulation of cholesterol metabolic process,0.0,biological_process
cartilage development,0.0,biological_process
response to testosterone,0.0,biological_process
cellular response to interleukin-1,0.0,biological_process
response to leptin,0.0,biological_process
positive regulation of MAP kinase activity,0.0,biological_process
negative regulation of transcription by RNA polymerase II,0.0,biological_process
regulation of vasoconstriction,0.0,biological_process
regulation of insulin secretion,0.0,biological_process
type B pancreatic cell development,0.0,biological_process
endothelin receptor signaling pathway,0.0,biological_process
response to pain,0.0,biological_process
cellular response to lipopolysaccharide,0.0,biological_process
regulation of epithelial cell proliferation,0.0,biological_process
response to muscle stretch,0.0,biological_process
response to prostaglandin F,0.0,biological_process
rhythmic excitation,0.0,biological_process
cellular response to mineralocorticoid stimulus,0.0,biological_process
regulation of sensory perception of pain,0.0,biological_process
melanocyte differentiation,0.0,biological_process
smooth muscle contraction,0.0,biological_process
positive regulation of endothelial cell migration,0.0,biological_process
nervous system development,0.0,biological_process
negative regulation of adenylate cyclase activity,0.0,biological_process
prostaglandin biosynthetic process,0.0,biological_process
positive regulation of cell growth involved in cardiac muscle cell development,0.0,biological_process
positive regulation of hormone secretion,0.0,biological_process
maternal process involved in parturition,0.0,biological_process
regulation of systemic arterial blood pressure by endothelin,0.0,biological_process
positive regulation of protein phosphorylation,0.0,biological_process
response to organic cyclic compound,0.0,biological_process
response to dexamethasone,0.0,biological_process
peptide hormone secretion,0.0,biological_process
positive regulation of sarcomere organization,0.0,biological_process
protein kinase C deactivation,0.0,biological_process
multicellular organism aging,0.0,biological_process
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,0.0,biological_process
positive regulation of prostaglandin-endoperoxide synthase activity,0.0,biological_process
artery smooth muscle contraction,0.0,biological_process
ornithine metabolic process,0.0,biological_process
G protein-coupled receptor signaling pathway,0.0,biological_process
cellular response to drug,0.0,biological_process
cellular response to fatty acid,0.0,biological_process
regulation of glucose transmembrane transport,0.0,biological_process
signal transduction,0.0,biological_process
negative regulation of cell population proliferation,0.0,biological_process
regulation of blood pressure,0.0,biological_process
regulation of pH,0.0,biological_process
positive regulation of prostaglandin secretion,0.0,biological_process
response to hypoxia,0.0,biological_process
activation of adenylate cyclase activity,0.0,biological_process
enteric nervous system development,0.0,biological_process
aging,0.0,biological_process
cGMP-mediated signaling,0.0,biological_process
macrophage chemotaxis,0.0,biological_process
activation of phospholipase C activity,0.0,biological_process
peripheral nervous system development,0.0,biological_process
neural crest cell migration,0.0,biological_process
response to amino acid,0.0,biological_process
positive regulation of chemokine-mediated signaling pathway,0.0,biological_process
negative regulation of PERK-mediated unfolded protein response,0.0,biological_process
regulation of intracellular protein transport,0.0,biological_process
regulation of hepatocyte growth factor receptor signaling pathway,0.0,biological_process
negative regulation of neuron differentiation,0.0,biological_process
protein homotrimerization,0.0,biological_process
protein glycosylation,0.0,biological_process
regulation of intracellular cholesterol transport,0.0,biological_process
regulation of type I interferon-mediated signaling pathway,0.0,biological_process
histone acetylation,0.0,biological_process
DNA repair,0.0,biological_process
cell migration,0.0,biological_process
positive regulation of lamellipodium assembly,0.0,biological_process
axon extension,0.0,biological_process
positive regulation of Rac protein signal transduction,0.0,biological_process
dendrite extension,0.0,biological_process
dolichyl diphosphate biosynthetic process,0.0,biological_process
positive regulation of triglyceride catabolic process,0.0,biological_process
fibroblast growth factor receptor signaling pathway,0.0,biological_process
dolichol biosynthetic process,0.0,biological_process
protein mannosylation,0.0,biological_process
positive regulation of SMAD protein signal transduction,0.0,biological_process
very-low-density lipoprotein particle remodeling,0.0,biological_process
positive regulation of receptor catabolic process,0.0,biological_process
positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway,0.0,biological_process
enucleate erythrocyte development,0.0,biological_process
positive regulation of fat cell differentiation,0.0,biological_process
activation of JUN kinase activity,0.0,biological_process
vascular endothelial growth factor signaling pathway,0.0,biological_process
kidney development,0.0,biological_process
neuronal stem cell population maintenance,0.0,biological_process
tRNA modification,0.0,biological_process
maintenance of translational fidelity,0.0,biological_process
glycogen metabolic process,0.0,biological_process
regulation of glycogen biosynthetic process,0.0,biological_process
positive regulation of synaptic transmission,0.0,biological_process
positive regulation of progesterone secretion,0.0,biological_process
lymphangiogenesis,0.0,biological_process
negative regulation of gluconeogenesis,0.0,biological_process
erythrocyte maturation,0.0,biological_process
stabilization of membrane potential,0.0,biological_process
potassium ion transport,0.0,biological_process
response to mechanical stimulus,0.0,biological_process
zinc ion transmembrane transport,0.0,biological_process
carnitine metabolic process,0.0,biological_process
cell fate determination,0.0,biological_process
ciliary body morphogenesis,0.0,biological_process
pulmonary valve morphogenesis,0.0,biological_process
morphogenesis of an epithelial sheet,0.0,biological_process
response to tetrachloromethane,0.0,biological_process
muscle cell cellular homeostasis,0.0,biological_process
response to organic substance,0.0,biological_process
response to electrical stimulus,0.0,biological_process
response to manganese ion,0.0,biological_process
response to silicon dioxide,0.0,biological_process
response to superoxide,0.0,biological_process
negative regulation of skeletal muscle tissue development,0.0,biological_process
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure,0.0,biological_process
response to magnetism,0.0,biological_process
BMP signaling pathway,0.0,biological_process
positive regulation of vascular permeability,0.0,biological_process
common-partner SMAD protein phosphorylation,0.0,biological_process
positive regulation of hydrogen peroxide biosynthetic process,0.0,biological_process
amacrine cell differentiation,0.0,biological_process
positive regulation of NAD+ ADP-ribosyltransferase activity,0.0,biological_process
transforming growth factor beta receptor signaling pathway involved in heart development,0.0,biological_process
ossification involved in bone remodeling,0.0,biological_process
embryonic liver development,0.0,biological_process
age-dependent response to reactive oxygen species,0.0,biological_process
anatomical structure development,0.0,biological_process
positive regulation of peptidyl-tyrosine phosphorylation,0.0,biological_process
positive regulation of microglia differentiation,0.0,biological_process
negative regulation of macrophage cytokine production,0.0,biological_process
"nucleotide-excision repair, DNA incision",0.0,biological_process
sequestering of zinc ion,0.0,biological_process
negative regulation of myoblast differentiation,0.0,biological_process
negative regulation of membrane hyperpolarization,0.0,biological_process
connective tissue replacement involved in inflammatory response wound healing,0.0,biological_process
thymus development,0.0,biological_process
regulation of blood vessel remodeling,0.0,biological_process
positive regulation of pri-miRNA transcription by RNA polymerase II,0.0,biological_process
positive regulation of protein localization to nucleus,0.0,biological_process
transcription initiation from RNA polymerase II promoter,0.0,biological_process
"base-excision repair, AP site formation",0.0,biological_process
multicellular organism growth,0.0,biological_process
positive regulation of pathway-restricted SMAD protein phosphorylation,0.0,biological_process
neural tube closure,0.0,biological_process
neuron differentiation,0.0,biological_process
pancreatic PP cell fate commitment,0.0,biological_process
nucleocytoplasmic transport,0.0,biological_process
negative regulation of reverse cholesterol transport,0.0,biological_process
negative regulation of glycoprotein biosynthetic process,0.0,biological_process
acute inflammatory response,0.0,biological_process
hemopoiesis,0.0,biological_process
heart looping,0.0,biological_process
positive regulation of keratinocyte proliferation,0.0,biological_process
axon guidance,0.0,biological_process
pathway-restricted SMAD protein phosphorylation,0.0,biological_process
negative regulation of integrin-mediated signaling pathway,0.0,biological_process
central nervous system neuron differentiation,0.0,biological_process
ubiquitin-dependent protein catabolic process,0.0,biological_process
positive regulation of bone mineralization,0.0,biological_process
positive regulation of cell differentiation,0.0,biological_process
embryonic organ morphogenesis,0.0,biological_process
regulation of intestinal epithelial structure maintenance,0.0,biological_process
enteroendocrine cell differentiation,0.0,biological_process
negative regulation of receptor signaling pathway via JAK-STAT,0.0,biological_process
pancreatic A cell fate commitment,0.0,biological_process
hepatocyte proliferation,0.0,biological_process
positive regulation of Ras protein signal transduction,0.0,biological_process
renal system process,0.0,biological_process
protein polyubiquitination,0.0,biological_process
positive regulation of histone H4-K16 acetylation,0.0,biological_process
neuron migration,0.0,biological_process
negative regulation of cell-cell adhesion,0.0,biological_process
antimicrobial humoral response,0.0,biological_process
regulation of multicellular organism growth,0.0,biological_process
protein homotetramerization,0.0,biological_process
DNA dealkylation involved in DNA repair,0.0,biological_process
macrophage differentiation,0.0,biological_process
positive regulation of cAMP-dependent protein kinase activity,0.0,biological_process
regulation of low-density lipoprotein particle clearance,0.0,biological_process
selenium compound metabolic process,0.0,biological_process
amino-acid betaine catabolic process,0.0,biological_process
response to nematode,0.0,biological_process
type B pancreatic cell maturation,0.0,biological_process
amino-acid betaine metabolic process,0.0,biological_process
cytoskeleton organization,0.0,biological_process
positive regulation of neuron differentiation,0.0,biological_process
endocrine pancreas development,0.0,biological_process
negative regulation of glial cell differentiation,0.0,biological_process
exocrine pancreas development,0.0,biological_process
fatty acid beta-oxidation,0.0,biological_process
response to antibiotic,0.0,biological_process
negative regulation of translation,0.0,biological_process
mRNA transport,0.0,biological_process
regulation of cytokine production,0.0,biological_process
regulation of RNA metabolic process,0.0,biological_process
RNA repair,0.0,biological_process
cellular response to ethanol,0.0,biological_process
carnitine shuttle,0.0,biological_process
insulin secretion,0.0,biological_process
response to fatty acid,0.0,biological_process
regulation of mRNA stability,0.0,biological_process
negative regulation of cell migration,0.0,biological_process
behavioral fear response,0.0,biological_process
transdifferentiation,0.0,biological_process
morphogenesis of embryonic epithelium,0.0,biological_process
regulation of pronephros size,0.0,biological_process
B cell receptor signaling pathway,0.0,biological_process
regulation of cholesterol transporter activity,0.0,biological_process
regulation of lipid metabolic process,0.0,biological_process
negative regulation of macrophage derived foam cell differentiation,0.0,biological_process
cellular response to low-density lipoprotein particle stimulus,0.0,biological_process
response to nutrient,0.0,biological_process
rhythmic process,0.0,biological_process
response to lipid,0.0,biological_process
negative regulation of sequestering of triglyceride,0.0,biological_process
hormone-mediated signaling pathway,0.0,biological_process
long-chain fatty acid transport,0.0,biological_process
long-chain fatty acid metabolic process,0.0,biological_process
macrophage derived foam cell differentiation,0.0,biological_process
positive regulation of heart growth,0.0,biological_process
lymphatic endothelial cell differentiation,0.0,biological_process
neural tube development,0.0,biological_process
tRNA methylthiolation,0.0,biological_process
IRE1-mediated unfolded protein response,0.0,biological_process
regulation of endocytosis,0.0,biological_process
negative regulation of MAP kinase activity,0.0,biological_process
positive regulation of IRE1-mediated unfolded protein response,0.0,biological_process
negative regulation of cholesterol storage,0.0,biological_process
negative regulation of signal transduction,0.0,biological_process
platelet-derived growth factor receptor-beta signaling pathway,0.0,biological_process
growth hormone receptor signaling pathway via JAK-STAT,0.0,biological_process
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity,0.0,biological_process
